# wavelength   response
  1.449    0.0041  
  1.4495   0.0042  
  1.45     0.0035  
  1.4505   0.0022  
  1.451    0.0028  
  1.4515   0.0049  
  1.452    0.0045  
  1.4525   0.0053  
  1.453    0.0043  
  1.4535   0.006   
  1.454    0.0063  
  1.4545   0.0061  
  1.455    0.0062  
  1.4555   0.005   
  1.456    0.0072  
  1.4565   0.0077  
  1.457    0.0075  
  1.4575   0.0077  
  1.458    0.0084  
  1.4585   0.0091  
  1.459    0.0096  
  1.4595   0.01    
  1.46     0.0099  
  1.4605   0.0082  
  1.461    0.0109  
  1.4615   0.0106  
  1.462    0.0123  
  1.4625   0.0127  
  1.463    0.0103  
  1.4635   0.0122  
  1.464    0.0141  
  1.4645   0.0157  
  1.465    0.0132  
  1.4655   0.0138  
  1.466    0.0137  
  1.4665   0.0137  
  1.467    0.0132  
  1.4675   0.0188  
  1.468    0.0181  
  1.4685   0.0214  
  1.469    0.0221  
  1.4695   0.016   
  1.47     0.0235  
  1.4705   0.0186  
  1.471    0.0164  
  1.4715   0.0264  
  1.472    0.0276  
  1.4725   0.0176  
  1.473    0.0303  
  1.4735   0.0311  
  1.474    0.0322  
  1.4745   0.0375  
  1.475    0.0395  
  1.4755   0.0383  
  1.476    0.032   
  1.4765   0.0438  
  1.477    0.0351  
  1.4775   0.0463  
  1.478    0.0342  
  1.4785   0.0525  
  1.479    0.0515  
  1.4795   0.0419  
  1.48     0.0547  
  1.4805   0.0421  
  1.481    0.0636  
  1.4815   0.0594  
  1.482    0.0557  
  1.4825   0.0713  
  1.483    0.0729  
  1.4835   0.0773  
  1.484    0.0803  
  1.4845   0.0678  
  1.485    0.0867  
  1.4855   0.0839  
  1.486    0.0899  
  1.4865   0.0807  
  1.487    0.0925  
  1.4875   0.0975  
  1.488    0.0927  
  1.4885   0.1085  
  1.489    0.1138  
  1.4895   0.109   
  1.49     0.1213  
  1.4905   0.1275  
  1.491    0.1303  
  1.4915   0.1059  
  1.492    0.1325  
  1.4925   0.1379  
  1.493    0.1398  
  1.4935   0.1481  
  1.494    0.1476  
  1.4945   0.1535  
  1.495    0.1473  
  1.4955   0.1585  
  1.496    0.1619  
  1.4965   0.1504  
  1.497    0.173   
  1.4975   0.1734  
  1.498    0.1689  
  1.4985   0.1798  
  1.499    0.1819  
  1.4995   0.1853  
  1.5      0.1897  
  1.5005   0.1932  
  1.501    0.1959  
  1.5015   0.1981  
  1.502    0.196   
  1.5025   0.2011  
  1.503    0.2011  
  1.5035   0.2015  
  1.504    0.1925  
  1.5045   0.2035  
  1.505    0.2092  
  1.5055   0.2143  
  1.506    0.2155  
  1.5065   0.2183  
  1.507    0.2189  
  1.5075   0.2198  
  1.508    0.2217  
  1.5085   0.2151  
  1.509    0.2137  
  1.5095   0.2258  
  1.51     0.2262  
  1.5105   0.2269  
  1.511    0.2265  
  1.5115   0.229   
  1.512    0.2305  
  1.5125   0.2279  
  1.513    0.2291  
  1.5135   0.2306  
  1.514    0.2299  
  1.5145   0.2334  
  1.515    0.2327  
  1.5155   0.2344  
  1.516    0.2347  
  1.5165   0.2339  
  1.517    0.2346  
  1.5175   0.2331  
  1.518    0.2367  
  1.5185   0.2361  
  1.519    0.2346  
  1.5195   0.2367  
  1.52     0.2377  
  1.5205   0.2369  
  1.521    0.2388  
  1.5215   0.2388  
  1.522    0.2382  
  1.5225   0.2395  
  1.523    0.2397  
  1.5235   0.2392  
  1.524    0.2401  
  1.5245   0.2385  
  1.525    0.2398  
  1.5255   0.24    
  1.526    0.24    
  1.5265   0.24    
  1.527    0.2405  
  1.5275   0.24    
  1.528    0.2411  
  1.5285   0.2412  
  1.529    0.2415  
  1.5295   0.2413  
  1.53     0.2415  
  1.5305   0.2417  
  1.531    0.242   
  1.5315   0.2413  
  1.532    0.2421  
  1.5325   0.242   
  1.533    0.2419  
  1.5335   0.2417  
  1.534    0.2414  
  1.5345   0.2416  
  1.535    0.2412  
  1.5355   0.2418  
  1.536    0.2422  
  1.5365   0.2427  
  1.537    0.2433  
  1.5375   0.2441  
  1.538    0.2443  
  1.5385   0.244   
  1.539    0.2439  
  1.5395   0.2439  
  1.54     0.2437  
  1.5405   0.244   
  1.541    0.2446  
  1.5415   0.2447  
  1.542    0.2447  
  1.5425   0.2452  
  1.543    0.2456  
  1.5435   0.2462  
  1.544    0.2466  
  1.5445   0.2466  
  1.545    0.247   
  1.5455   0.2473  
  1.546    0.2475  
  1.5465   0.2478  
  1.547    0.2481  
  1.5475   0.2483  
  1.548    0.2485  
  1.5485   0.2487  
  1.549    0.2489  
  1.5495   0.2491  
  1.55     0.2494  
  1.5505   0.2496  
  1.551    0.2497  
  1.5515   0.25    
  1.552    0.2499  
  1.5525   0.2504  
  1.553    0.2506  
  1.5535   0.2508  
  1.554    0.251   
  1.5545   0.2512  
  1.555    0.2514  
  1.5555   0.2516  
  1.556    0.2518  
  1.5565   0.252   
  1.557    0.2522  
  1.5575   0.2524  
  1.558    0.2526  
  1.5585   0.2528  
  1.559    0.253   
  1.5595   0.2532  
  1.56     0.2534  
  1.5605   0.2536  
  1.561    0.2537  
  1.5615   0.2539  
  1.562    0.2541  
  1.5625   0.2542  
  1.563    0.2545  
  1.5635   0.2546  
  1.564    0.2548  
  1.5645   0.2549  
  1.565    0.2552  
  1.5655   0.2553  
  1.566    0.2554  
  1.5665   0.2556  
  1.567    0.2556  
  1.5675   0.2556  
  1.568    0.2552  
  1.5685   0.2545  
  1.569    0.2531  
  1.5695   0.2511  
  1.57     0.2486  
  1.5705   0.246   
  1.571    0.2439  
  1.5715   0.2418  
  1.572    0.2405  
  1.5725   0.2421  
  1.573    0.2411  
  1.5735   0.2439  
  1.574    0.2448  
  1.5745   0.2493  
  1.575    0.2545  
  1.5755   0.2565  
  1.576    0.2521  
  1.5765   0.2481  
  1.577    0.2461  
  1.5775   0.2476  
  1.578    0.249   
  1.5785   0.2501  
  1.579    0.2486  
  1.5795   0.2476  
  1.58     0.2472  
  1.5805   0.2495  
  1.581    0.2507  
  1.5815   0.2511  
  1.582    0.2533  
  1.5825   0.2546  
  1.583    0.2549  
  1.5835   0.2564  
  1.584    0.2572  
  1.5845   0.2577  
  1.585    0.2585  
  1.5855   0.2589  
  1.586    0.2593  
  1.5865   0.2593  
  1.587    0.2593  
  1.5875   0.2595  
  1.588    0.2595  
  1.5885   0.2596  
  1.589    0.2597  
  1.5895   0.2598  
  1.59     0.2598  
  1.5905   0.2599  
  1.591    0.2599  
  1.5915   0.2599  
  1.592    0.26    
  1.5925   0.2599  
  1.593    0.2601  
  1.5935   0.2601  
  1.594    0.2602  
  1.5945   0.2601  
  1.595    0.2602  
  1.5955   0.2603  
  1.596    0.2603  
  1.5965   0.2603  
  1.597    0.2603  
  1.5975   0.2601  
  1.598    0.2598  
  1.5985   0.2591  
  1.599    0.2578  
  1.5995   0.2559  
  1.6      0.2537  
  1.6005   0.2512  
  1.601    0.2486  
  1.6015   0.2468  
  1.602    0.2458  
  1.6025   0.2434  
  1.603    0.2452  
  1.6035   0.2457  
  1.604    0.2468  
  1.6045   0.2518  
  1.605    0.2549  
  1.6055   0.2589  
  1.606    0.258   
  1.6065   0.2541  
  1.607    0.2523  
  1.6075   0.2523  
  1.608    0.2525  
  1.6085   0.2528  
  1.609    0.2511  
  1.6095   0.2497  
  1.61     0.249   
  1.6105   0.2511  
  1.611    0.2522  
  1.6115   0.2524  
  1.612    0.2552  
  1.6125   0.2564  
  1.613    0.2575  
  1.6135   0.2595  
  1.614    0.2607  
  1.6145   0.2619  
  1.615    0.2625  
  1.6155   0.2628  
  1.616    0.263   
  1.6165   0.2629  
  1.617    0.2631  
  1.6175   0.2634  
  1.618    0.2636  
  1.6185   0.264   
  1.619    0.264   
  1.6195   0.2643  
  1.62     0.2645  
  1.6205   0.2646  
  1.621    0.2648  
  1.6215   0.2648  
  1.622    0.265   
  1.6225   0.2651  
  1.623    0.2652  
  1.6235   0.2653  
  1.624    0.2651  
  1.6245   0.2656  
  1.625    0.2657  
  1.6255   0.2656  
  1.626    0.2652  
  1.6265   0.2657  
  1.627    0.2657  
  1.6275   0.2657  
  1.628    0.2654  
  1.6285   0.2655  
  1.629    0.2659  
  1.6295   0.2658  
  1.63     0.266   
  1.6305   0.2638  
  1.631    0.2658  
  1.6315   0.2656  
  1.632    0.2656  
  1.6325   0.2654  
  1.633    0.2635  
  1.6335   0.2651  
  1.634    0.2656  
  1.6345   0.2653  
  1.635    0.2652  
  1.6355   0.2602  
  1.636    0.2649  
  1.6365   0.2648  
  1.637    0.265   
  1.6375   0.2615  
  1.638    0.2626  
  1.6385   0.2641  
  1.639    0.2635  
  1.6395   0.263   
  1.64     0.2623  
  1.6405   0.2558  
  1.641    0.2622  
  1.6415   0.2615  
  1.642    0.2611  
  1.6425   0.2609  
  1.643    0.248   
  1.6435   0.2603  
  1.644    0.2605  
  1.6445   0.2609  
  1.645    0.261   
  1.6455   0.2428  
  1.646    0.2606  
  1.6465   0.2603  
  1.647    0.2595  
  1.6475   0.2583  
  1.648    0.2536  
  1.6485   0.2541  
  1.649    0.2572  
  1.6495   0.2569  
  1.65     0.2574  
  1.6505   0.2566  
  1.651    0.2411  
  1.6515   0.2558  
  1.652    0.2556  
  1.6525   0.2562  
  1.653    0.256   
  1.6535   0.2516  
  1.654    0.253   
  1.6545   0.2553  
  1.655    0.2541  
  1.6555   0.254   
  1.656    0.2538  
  1.6565   0.2468  
  1.657    0.2533  
  1.6575   0.2534  
  1.658    0.2531  
  1.6585   0.2527  
  1.659    0.2524  
  1.6595   0.2493  
  1.66     0.2516  
  1.6605   0.2518  
  1.661    0.2514  
  1.6615   0.2507  
  1.662    0.2504  
  1.6625   0.2485  
  1.663    0.2502  
  1.6635   0.2496  
  1.664    0.2497  
  1.6645   0.2495  
  1.665    0.2486  
  1.6655   0.2221  
  1.666    0.23    
  1.6665   0.2401  
  1.667    0.2444  
  1.6675   0.2472  
  1.668    0.2474  
  1.6685   0.2473  
  1.669    0.2478  
  1.6695   0.2475  
  1.67     0.2476  
  1.6705   0.247   
  1.671    0.2471  
  1.6715   0.2459  
  1.672    0.2472  
  1.6725   0.2471  
  1.673    0.2471  
  1.6735   0.247   
  1.674    0.2469  
  1.6745   0.2397  
  1.675    0.2469  
  1.6755   0.2466  
  1.676    0.247   
  1.6765   0.247   
  1.677    0.2468  
  1.6775   0.2396  
  1.678    0.2469  
  1.6785   0.2468  
  1.679    0.2473  
  1.6795   0.2472  
  1.68     0.2472  
  1.6805   0.2468  
  1.681    0.2447  
  1.6815   0.2471  
  1.682    0.2476  
  1.6825   0.2477  
  1.683    0.2478  
  1.6835   0.248   
  1.684    0.2376  
  1.6845   0.2481  
  1.685    0.2481  
  1.6855   0.2483  
  1.686    0.2486  
  1.6865   0.2486  
  1.687    0.2479  
  1.6875   0.2458  
  1.688    0.2489  
  1.6885   0.2494  
  1.689    0.2489  
