# wavelength   response
  1.148    0.0044  
  1.1485   0.0046  
  1.149    0.0044  
  1.1495   0.0049  
  1.15     0.0046  
  1.1505   0.0062  
  1.151    0.0062  
  1.1515   0.0069  
  1.152    0.0064  
  1.1525   0.007   
  1.153    0.0087  
  1.1535   0.0095  
  1.154    0.0091  
  1.1545   0.0104  
  1.155    0.0117  
  1.1555   0.0128  
  1.156    0.0138  
  1.1565   0.0149  
  1.157    0.0172  
  1.1575   0.0182  
  1.158    0.0187  
  1.1585   0.0216  
  1.159    0.0211  
  1.1595   0.0255  
  1.16     0.0277  
  1.1605   0.0283  
  1.161    0.0332  
  1.1615   0.0352  
  1.162    0.0392  
  1.1625   0.041   
  1.163    0.0466  
  1.1635   0.0496  
  1.164    0.0535  
  1.1645   0.0586  
  1.165    0.0617  
  1.1655   0.067   
  1.166    0.0708  
  1.1665   0.0775  
  1.167    0.0824  
  1.1675   0.0893  
  1.168    0.0947  
  1.1685   0.0989  
  1.169    0.1063  
  1.1695   0.1103  
  1.17     0.1175  
  1.1705   0.1212  
  1.171    0.1261  
  1.1715   0.1332  
  1.172    0.1368  
  1.1725   0.1399  
  1.173    0.1445  
  1.1735   0.1485  
  1.174    0.1445  
  1.1745   0.1552  
  1.175    0.1591  
  1.1755   0.1572  
  1.176    0.164   
  1.1765   0.1656  
  1.177    0.1673  
  1.1775   0.1613  
  1.178    0.1672  
  1.1785   0.1671  
  1.179    0.1718  
  1.1795   0.166   
  1.18     0.1716  
  1.1805   0.1734  
  1.181    0.1729  
  1.1815   0.1713  
  1.182    0.1607  
  1.1825   0.1729  
  1.183    0.1748  
  1.1835   0.1751  
  1.184    0.1747  
  1.1845   0.1708  
  1.185    0.1688  
  1.1855   0.1762  
  1.186    0.1758  
  1.1865   0.1751  
  1.187    0.1755  
  1.1875   0.1719  
  1.188    0.1724  
  1.1885   0.1718  
  1.189    0.1764  
  1.1895   0.1772  
  1.19     0.1777  
  1.1905   0.1769  
  1.191    0.1761  
  1.1915   0.1783  
  1.192    0.1768  
  1.1925   0.1784  
  1.193    0.1785  
  1.1935   0.1724  
  1.194    0.1786  
  1.1945   0.1772  
  1.195    0.1767  
  1.1955   0.1764  
  1.196    0.1777  
  1.1965   0.1768  
  1.197    0.1777  
  1.1975   0.1737  
  1.198    0.1779  
  1.1985   0.1759  
  1.199    0.1727  
  1.1995   0.1768  
  1.2      0.1764  
  1.2005   0.1763  
  1.201    0.1755  
  1.2015   0.1758  
  1.202    0.1736  
  1.2025   0.1768  
  1.203    0.1767  
  1.2035   0.1729  
  1.204    0.1683  
  1.2045   0.1755  
  1.205    0.1707  
  1.2055   0.1777  
  1.206    0.1781  
  1.2065   0.1757  
  1.207    0.1765  
  1.2075   0.1765  
  1.208    0.1774  
  1.2085   0.1791  
  1.209    0.1778  
  1.2095   0.1808  
  1.21     0.1787  
  1.2105   0.1827  
  1.211    0.1829  
  1.2115   0.1805  
  1.212    0.1837  
  1.2125   0.1836  
  1.213    0.1859  
  1.2135   0.1872  
  1.214    0.1859  
  1.2145   0.1872  
  1.215    0.1873  
  1.2155   0.1882  
  1.216    0.1908  
  1.2165   0.1908  
  1.217    0.1906  
  1.2175   0.1928  
  1.218    0.1916  
  1.2185   0.1921  
  1.219    0.1915  
  1.2195   0.1927  
  1.22     0.1939  
  1.2205   0.1945  
  1.221    0.1954  
  1.2215   0.1938  
  1.222    0.1946  
  1.2225   0.1941  
  1.223    0.1952  
  1.2235   0.1947  
  1.224    0.1953  
  1.2245   0.1951  
  1.225    0.1954  
  1.2255   0.1947  
  1.226    0.1949  
  1.2265   0.1949  
  1.227    0.1929  
  1.2275   0.1941  
  1.228    0.194   
  1.2285   0.1939  
  1.229    0.1932  
  1.2295   0.1925  
  1.23     0.1926  
  1.2305   0.1925  
  1.231    0.1922  
  1.2315   0.1919  
  1.232    0.1916  
  1.2325   0.1913  
  1.233    0.1909  
  1.2335   0.1906  
  1.234    0.1909  
  1.2345   0.1907  
  1.235    0.1906  
  1.2355   0.1906  
  1.236    0.1907  
  1.2365   0.1907  
  1.237    0.1908  
  1.2375   0.191   
  1.238    0.1912  
  1.2385   0.1915  
  1.239    0.1918  
  1.2395   0.1921  
  1.24     0.1925  
  1.2405   0.1928  
  1.241    0.1933  
  1.2415   0.1938  
  1.242    0.1943  
  1.2425   0.1949  
  1.243    0.1954  
  1.2435   0.196   
  1.244    0.1966  
  1.2445   0.1972  
  1.245    0.1978  
  1.2455   0.1984  
  1.246    0.199   
  1.2465   0.1995  
  1.247    0.2002  
  1.2475   0.2008  
  1.248    0.201   
  1.2485   0.2018  
  1.249    0.2023  
  1.2495   0.2021  
  1.25     0.2032  
  1.2505   0.2036  
  1.251    0.2026  
  1.2515   0.2042  
  1.252    0.2045  
  1.2525   0.2029  
  1.253    0.2048  
  1.2535   0.205   
  1.254    0.2035  
  1.2545   0.2047  
  1.255    0.2051  
  1.2555   0.2044  
  1.256    0.2027  
  1.2565   0.2049  
  1.257    0.2047  
  1.2575   0.1968  
  1.258    0.2043  
  1.2585   0.2038  
  1.259    0.1958  
  1.2595   0.2026  
  1.26     0.2018  
  1.2605   0.199   
  1.261    0.1949  
  1.2615   0.1975  
  1.262    0.1961  
  1.2625   0.1844  
  1.263    0.1946  
  1.2635   0.1907  
  1.264    0.1889  
  1.2645   0.1883  
  1.265    0.1881  
  1.2655   0.1948  
  1.266    0.1765  
  1.2665   0.1895  
  1.267    0.1918  
  1.2675   0.1916  
  1.268    0.1989  
  1.2685   0.1504  
  1.269    0.1478  
  1.2695   0.1806  
  1.27     0.1927  
  1.2705   0.1973  
  1.271    0.1947  
  1.2715   0.1994  
  1.272    0.1942  
  1.2725   0.1995  
