# colnew   col2    
  1.9605   0.0044  
  1.961    0.0033  
  1.9615   0.0041  
  1.962    0.0039  
  1.9625   0.0047  
  1.963    0.0042  
  1.9635   0.0034  
  1.964    0.0032  
  1.9645   0.0038  
  1.965    0.0053  
  1.9655   0.0046  
  1.966    0.0035  
  1.9665   0.0047  
  1.967    0.0061  
  1.9675   0.0052  
  1.968    0.004   
  1.9685   0.0061  
  1.969    0.0065  
  1.9695   0.0053  
  1.97     0.006   
  1.9705   0.0073  
  1.971    0.0059  
  1.9715   0.0053  
  1.972    0.0072  
  1.9725   0.0071  
  1.973    0.007   
  1.9735   0.0083  
  1.974    0.0073  
  1.9745   0.0077  
  1.975    0.009   
  1.9755   0.0086  
  1.976    0.0084  
  1.9765   0.0096  
  1.977    0.0094  
  1.9775   0.0096  
  1.978    0.01    
  1.9785   0.01    
  1.979    0.0106  
  1.9795   0.0102  
  1.98     0.0083  
  1.9805   0.0092  
  1.981    0.0114  
  1.9815   0.0118  
  1.982    0.012   
  1.9825   0.0122  
  1.983    0.0118  
  1.9835   0.0128  
  1.984    0.0131  
  1.9845   0.0133  
  1.985    0.0133  
  1.9855   0.0136  
  1.986    0.0142  
  1.9865   0.0144  
  1.987    0.0111  
  1.9875   0.0149  
  1.988    0.0154  
  1.9885   0.0158  
  1.989    0.0162  
  1.9895   0.0165  
  1.99     0.0151  
  1.9905   0.0163  
  1.991    0.0175  
  1.9915   0.0182  
  1.992    0.0185  
  1.9925   0.0189  
  1.993    0.0194  
  1.9935   0.0198  
  1.994    0.0193  
  1.9945   0.0203  
  1.995    0.0211  
  1.9955   0.0206  
  1.996    0.0212  
  1.9965   0.0209  
  1.997    0.0203  
  1.9975   0.0202  
  1.998    0.0181  
  1.9985   0.0186  
  1.999    0.0171  
  1.9995   0.0171  
  2.0      0.0182  
  2.0005   0.0164  
  2.001    0.0139  
  2.0015   0.0118  
  2.002    0.0117  
  2.0025   0.0106  
  2.003    0.0085  
  2.0035   0.0103  
  2.004    0.0102  
  2.0045   0.0095  
  2.005    0.0116  
  2.0055   0.0129  
  2.006    0.0171  
  2.0065   0.0208  
  2.007    0.0221  
  2.0075   0.0197  
  2.008    0.0179  
  2.0085   0.0259  
  2.009    0.0365  
  2.0095   0.0242  
  2.01     0.0261  
  2.0105   0.0322  
  2.011    0.023   
  2.0115   0.0178  
  2.012    0.0279  
  2.0125   0.0331  
  2.013    0.0229  
  2.0135   0.0197  
  2.014    0.0373  
  2.0145   0.0325  
  2.015    0.0191  
  2.0155   0.0427  
  2.016    0.0386  
  2.0165   0.0246  
